,asin,title,price,rating,reviews,availability
0,B0BYJLKQ17,"51RISC GeForce GTX 1660 Super Graphics Card, 6GB GDDR6 192-Bit Video Card PCIe 3.0 x16 DP HDMI DVI Display Gaming PC GPU",$307.79,4.3 out of 5 stars,14 reviews,In stock
1,B0BXYZ9V9R,ASUS Graphics Card NVIDIA GeForce GTX 1650|4GB|GDDR6X|128bit|PCIE 3.0 16x|GPU 1410MHz|Dual Slot Fansink|1xDVI-D|1xHDMI|1xDisplayPort|PH-GTX1650-O4GD6-P-V2,$675.19,,,Only 1 left in stock
2,B0BZTF7LFK,"ASUS Dual GeForce® RTX 4070 OC Edition 12GB GDDR6X, IP5X, Auto-Extreme Technology, 144-Hour Validation Program, HDMI 2.1a, DP 1.4a",$995.00,4.7 out of 5 stars,133 reviews,Only 1 left in stock
3,B08WPJ5P4R,MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Twin-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X 12G),$613.20,4.6 out of 5 stars,965 reviews,Only 5 left in stock
4,B09FPJL1KY,"Graphics Card GPU Brace Support, Video Card Sag Holder Bracket, GPU Stand (L)",$17.99,4.6 out of 5 stars,"3,625 reviews",In stock
5,B0BNBSSS43,"RX580 8GB Graphics Card, PC Video Graphics Card GDDR5 256bit 4096x2160 with 2 Cooling Fans, HD Multimedia Interface and DP Interface Gaming Graphics Card for Computer",$242.87,4.5 out of 5 stars,2 reviews,Only 5 left in stock
6,B08GQ29HRP,"MSI nVidia GeForce GTX 1650 D6 Ventus XS OCV2 Video Card, PCI-E 3.0, 1620 MHz Boost Clock, 1x DisplayPort 1.4a, 1x HDMI 2.0, 1x DVI-D",$258.00,4.4 out of 5 stars,324 reviews,In stock
7,B0BQX5VYNH,"ASUS Dual GeForce RTX™ 3060 White OC Edition 8GB GDDR6 (PCIe 4.0, 8GB GDDR6, HDMI 2.1, DisplayPort 1.4a)",$469.00,4.8 out of 5 stars,95 reviews,In stock
8,B07YYZGM51,Gigabyte nVidia GeForce GTX 1660 Super OC 6GB PCIe Graphic Card 7680x4320@60Hz 3xDP HDMI 4xDisplays Windforce 2X Cooling 1830MHz,$399.00,4.7 out of 5 stars,651 reviews,Only 1 left in stock
9,B08W8DGK3X,"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$635.08,4.7 out of 5 stars,"3,223 reviews",Usually dispatched within 7 to 8 days
10,B0C9S2Q2Z9,"Gaming Graphics Card, 5Gbps Support DVI VGA Graphics Card GTX 730 2GB DDR3 128bit with Cooling Fan for Computer",$87.51,,,In stock
11,B07XB33R41,ASUS GeForce GTX1650 OC Edition 4GB GDDR5 Graphic Card,$279.00,4.5 out of 5 stars,195 reviews,In stock
12,B096Y2TYKV,Gigabyte GeForce RTX 3060 Gaming OC 12GB V2 LHR Graphics Card,$544.00,4.7 out of 5 stars,996 reviews,Only 5 left in stock
13,B0BS173WWL,"ZOTAC Gaming GeForce GTX 1650 AMP CORE 4GB GDDR6 128-bit Gaming Graphics Card, Super Compact, ZT-T16520J-10L",$297.28,4.9 out of 5 stars,40 reviews,In stock
14,B0B1J11Z4W,SRhonyra Graphics Card GeForce GTX 1650 LP 4GB GDDR5 Low Profile DP HDMI Multi-Screen Board 128Bit Computer Video Card GPU Super Compact Multi-Display,$414.38,4.7 out of 5 stars,6 reviews,In stock
15,B08VHWFWSD,"maxsun AMD Radeon RX 550 4GB GDDR5 ITX Computer PC Gaming Video Graphics Card GPU 128-Bit DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",$279.13,4.2 out of 5 stars,"1,036 reviews",In stock
16,B07QKGDDJD,ASUS GeForce GTX 1650 Overclocked 4GB Dual-Fan Edition VR Ready HDMI DP 1.4 DVI Graphics Card (Dual-GTX1650-O4G),$269.00,4.5 out of 5 stars,714 reviews,In stock
17,B087R7V2Q6,"GIGABYTE GeForce GTX 1650 D6 OC Low Profile 4G Graphics Card, Low Profile Design, 4GB 128-Bit GDDR6, GV-N1656OC-4GL Video Card",$431.95,4.6 out of 5 stars,337 reviews,In stock
18,B07XV7FNR2,"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, Zt-T16600K-10M",$407.57,4.7 out of 5 stars,"1,326 reviews",In stock
19,B0C8ZRMDC3,GIGABYTE RTX 4060 Eagle OC-8GD,$569.00,5.0 out of 5 stars,10 reviews,Only 1 left in stock
20,B0BYNDT1XG,"SURALLOW Gaming GTX 1660 Super 6GB Graphics Card, GDRR6,192-Bit,PCIE 3.0X16 Computer Graphics Card for Gaming PC,Twin Freeze Fans Video Card with HDMI/DP/DVI Ports for Gaming GPU",$313.35,4.3 out of 5 stars,21 reviews,In stock
21,B07ZHWQ81N,ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO),$609.14,4.7 out of 5 stars,"1,642 reviews",Only 3 left in stock
22,B01M360WG6,ASUS Geforce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050TI-4G) Graphic Cards,$353.25,4.6 out of 5 stars,"4,631 reviews",Only 1 left in stock
